line1_id,line2_id,char1_id,movie_id,char1_name,line1_text,char2_id,char2_name,line2_text,movie_title,movie_year,imdb_rating,imdb_votes,genres,persona_cluster
L434958,L434959,u2421,m155,MEG,What?,u2423,SARAH,I'm dizzy and thirsty.,,,,,,1
L208894,L208895,u920,m60,DUKE,Crying? Why was she crying?,u918,CLERK,"Well, uh. She didn't say Mr. Duke. But since I know you're here with the Police Convention...",,,,,,2
L649366,L649367,u8880,m603,ROWAN,It's unbelievable that you can do that.,u8879,MICHAEL,It - it feels like - like I'm being filled up. crowded out of myself.   Like I'm fading away-,,,,,,0
L593148,L593149,u3105,m203,MICHAEL,"Is it going to be all-out war, like last time?",u3112,SONNY,Until the old man tells me different.,,,,,,2
L597678,L597679,u8329,m565,JEANNE,He never says his name.,u8333,PRIEST,What... does he... look like?,,,,,,2
L336118,L336119,u6204,m415,BREE,What was better? I made better bait?,u6214,TRASK,"No, that's not --",,,,,,0
L130081,L130082,u4477,m296,GITTES,Well I'm on my lunch hour. I'll wait.,u4485,SECRETARY,He's liable to be tied up indefinitely.,,,,,,0
L120848,L120849,u4331,m289,ACE,Looks bad? I'm gonna tell you what looks bad.,u4359,NICKY,Yeah?,,,,,,2
L635208,L635209,u8712,m591,LITTLE BILL,"Hullo, Bob. Boys, this here is English Bob.",u8710,ENGLISH BOB,Shit and fried eggs.,,,,,,2
L501684,L501685,u7592,m513,IZZY,And?,u7594,JILL,I was too old.,,,,,,1
L551093,L551094,u3058,m200,MACE,"Okay, so he's a freak who thinks he's sane pretending to be a freak. The point is, he was a hitter. Somebody wanted to shut her up.  But why not just put a little lead in her ear?",u3057,LENNY,Because it had to look random.  Not connected to anything or anyone.  But then why give the rape to me?,,,,,,2
L427011,L427012,u2415,m154,ZACK,The thing that really got to me... she didn't leave a note. Nothing. I've always hated her for that.,u2412,PAULA,Does it still hurt?,,,,,,0
L439758,L439759,u2460,m158,ELLIE,Because you promised.,u2462,LOUIS,I know.,,,,,,0
L664843,L664844,u9000,m613,XANDER,Now I'm the one who's nauseous. So what's the deal? What do you need me for?,u8991,GIBBONS,"There's some folks I want to keep tabs on. Dirty, tattooed, uncivilized. Your kind of people.",,,,,,0
L135250,L135251,u4528,m299,HEATHER,"My ex-boyfriend was about his height, but he was much bulkier. He could bench two-fifty, three hundred easy.",u4538,TRAINER,"I do about three-fifty, four.",,,,,,2
L229412,L229413,u1049,m68,TOMMY,"""Assault on Voltareck III.""  Episode... 31 I think.",u1040,GUY,We're doing episode 31?,,,,,,2
L339131,L339132,u6242,m417,LORD CHAMBERLAIN,Britain chooses not to.,u6251,TENZIN GYATSO,"And, America?",,,,,,2
L39244,L39245,u3656,m241,ANDY,Where?,u3664,SERAFINE,"Somewhere where there are no police, and plenty to eat.",,,,,,1
L315595,L315596,u1612,m106,JACOB,Help me! Help me!,u1614,JEZZIE,Here. I'll do it.,,,,,,0
L556456,L556457,u7986,m541,GUS,"Man, them people was crazy! How they 'spect you to learn all that jive on the first day? ""Hold the pickle! Hold the lettuce! Extra onions! Special sauce! No special sauce!"" Ain't nobody found no meat inside that glop yet.",u7984,CLERK,"Mr. Gorman, the city of Metropolis is generous to a fault, but. . .",,,,,,2
L120907,L120908,u4348,m289,GAGGI,Yeah. Everybody's talkin' about it. They're makin' a big deal out of it.,u4358,MARINO,I know.,,,,,,2
L15198,L15199,u3570,m235,MILLIE,I knew I could rely on you.,u3569,JOHN,Thanks.,,,,,,0
L439284,L439285,u7026,m469,RICHARD,What's the matter?,u7025,PEGGY,"It's all, gone wrong, nothing's working out.",,,,,,2
