line1_id,line2_id,char1_id,movie_id,char1_name,line1_text,char2_id,char2_name,line2_text,movie_title,movie_year,imdb_rating,imdb_votes,genres,persona_cluster
L649366,L649367,u8880,m603,ROWAN,It's unbelievable that you can do that.,u8879,MICHAEL,It - it feels like - like I'm being filled up. crowded out of myself.   Like I'm fading away-,,,,,,0
L336118,L336119,u6204,m415,BREE,What was better? I made better bait?,u6214,TRASK,"No, that's not --",,,,,,0
L130081,L130082,u4477,m296,GITTES,Well I'm on my lunch hour. I'll wait.,u4485,SECRETARY,He's liable to be tied up indefinitely.,,,,,,0
L427011,L427012,u2415,m154,ZACK,The thing that really got to me... she didn't leave a note. Nothing. I've always hated her for that.,u2412,PAULA,Does it still hurt?,,,,,,0
L439758,L439759,u2460,m158,ELLIE,Because you promised.,u2462,LOUIS,I know.,,,,,,0
L664843,L664844,u9000,m613,XANDER,Now I'm the one who's nauseous. So what's the deal? What do you need me for?,u8991,GIBBONS,"There's some folks I want to keep tabs on. Dirty, tattooed, uncivilized. Your kind of people.",,,,,,0
L315595,L315596,u1612,m106,JACOB,Help me! Help me!,u1614,JEZZIE,Here. I'll do it.,,,,,,0
L15198,L15199,u3570,m235,MILLIE,I knew I could rely on you.,u3569,JOHN,Thanks.,,,,,,0
L236610,L236611,u1097,m72,JOE,"Perhaps the ""Jam-in-ator"" appeals to you.  Absolutely no practice necessary.  You shread like a giant. Just press a button.",u1094,ENID,That's okay...,,,,,,0
L521394,L521395,u7712,m522,JERRY,You - you -,u7713,JOE,This happens to me all the time in public.,,,,,,0
L262948,L262949,u5746,m380,HANNAH,"I'm not!  I'm not!  I'm trying to be helpful.  A person doesn't just say one day, ""Okay, now-now I'm finished as an actress.  Now I'm a writer.""  I mean--",u5747,HOLLY,"Yeah, you mean not at my age.",,,,,,0
L60269,L60270,u422,m25,SWAYZAK,"No need to be modest, Brian.",u412,BRIAN,"No, you don't understand, I saved a mannequin.",,,,,,0
L218292,L218293,u5317,m353,BOBBY,You can sing the song.,u5323,RAYETTE,"You know what, you are never satisfied.",,,,,,0
L426900,L426901,u2415,m154,ZACK,"You want me to fuck you? Is that it? Okay, come here. Take your clothes off. Get into bed.",u2412,PAULA,Where's that coming from? I wouldn't fuck now if my life depended on it!,,,,,,0
L150031,L150032,u4711,m312,MRS. CALDWELL,I can't thank you enough.,u4710,KATHRYN,You will be discreet about this?,,,,,,0
L455202,L455203,u2511,m163,BARRY,"Well, it's fine. Thank you.",u2521,LENA,Did you pick it up from the street?,,,,,,0
L471062,L471063,u7295,m492,VALIANT,"Are you always this funny, or only on days when you're wanted for murder?",u7294,ROGER RABBIT,"My philosophy is if you don't have a sense of humor, you're better off dead.",,,,,,0
L2583,L2584,u33,m2,IMMIGRATION OFFICER,Then answer my questions.  Where were you planning to stay during the two weeks that you're here?,u42,OLEG,New York.,,,,,,0
L448898,L448899,u7111,m476,JAMES,But I'm not an interviewer or a correspondent.,u7107,CARMEN,"That doesn't matter.  As long as we can get our message through to someone there.  Jill, where are those handouts?",,,,,,0
L154466,L154467,u753,m48,MAX,I didn't make it this far by attracting a lot of attention.,u751,LOGAN,"She's put her life on the line, and her faith in me.",,,,,,0
L451566,L451567,u7149,m480,MAN IN BLACK,You're that smart?,u7155,VIZZINI,"Let me put it this way: have you ever heard of Plato, Aristotle, Socrates?",,,,,,0
L30697,L30698,u247,m16,CONSTANZE,There's a young girl to see you.,u255,MOZART,What does she want?,,,,,,0
L112406,L112407,u4263,m284,MARY,I think this place stinks.,u4258,FRANK,Our Lady of Misery.,,,,,,0
L324777,L324778,u6112,m405,JAKE,I just want to make an honest woman of you....,u6113,LOUISA,I'm not going to marry you until you straighten out your life and your hair.,,,,,,0
L250059,L250060,u5606,m373,CHUCKIE,"I'm glad you came by, changed my opinion of Harvard people.",u5616,SKYLAR,See ya' Chuckie. I had fun.,,,,,,0
L289299,L289300,u5909,m390,PAUL,"General, sir. I am glad to find you. I have found you some supplies.",u5901,GENERAL BIZIMUNGU,Whiskey?,,,,,,0
L361661,L361662,u6443,m428,PHIL,There's no asshole like you.,u6428,EARL,...cocksucker....,,,,,,0
L405941,L405942,u2244,m144,NAPOLEON,Oh -- where do you come from?,u2231,CORSICAN,Bastia -- and you?,,,,,,0
L234647,L234648,u5496,m366,DOC,Where are you going?,u5495,CAROL,El Paso.,,,,,,0
